gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ERLEC1.5,1.45E-08,0.523857559,0.831,0.765,0.000267017,9,ERLEC1
DCAF10.1,1.48E-08,0.383682776,0.337,0.178,0.000271992,9,DCAF10
RPL41.5,1.57E-08,-0.370420225,0.399,0.621,0.000288885,9,RPL41
ITGB2.8,1.60E-08,-0.539203814,0.039,0.212,0.000294939,9,ITGB2
ILF3.3,1.68E-08,-0.347601139,0.253,0.454,0.000309387,9,ILF3
PLEKHN1.1,1.70E-08,0.252464759,0.18,0.069,0.000313633,9,PLEKHN1
NUP88.6,1.76E-08,-0.351649191,0.129,0.325,0.000324384,9,NUP88
VKORC1.2,1.80E-08,-0.370507363,0.253,0.465,0.00033242,9,VKORC1
HLA-DPB1.8,1.84E-08,-1.10575827,0.079,0.255,0.000339535,9,HLA-DPB1
UFC1.1,1.85E-08,0.356633271,0.511,0.328,0.000341511,9,UFC1
ARL8B.2,1.87E-08,0.263273563,0.455,0.268,0.000344022,9,ARL8B
CDKN2AIP,1.87E-08,0.261087456,0.337,0.177,0.000344468,9,CDKN2AIP
FTH1.3,1.92E-08,1.039183331,1,0.998,0.000354491,9,FTH1
PDLIM1.3,2.02E-08,-0.387583981,0.14,0.338,0.000371384,9,PDLIM1
CCL3.8,2.03E-08,-2.024392756,0.096,0.273,0.000374624,9,CCL3
TOP2A.9,2.15E-08,-0.91893417,0.067,0.244,0.000395694,9,TOP2A
RPL39L.5,2.17E-08,-0.282866974,0.034,0.204,0.000399521,9,RPL39L
NDUFAF8.6,2.17E-08,-0.449323325,0.303,0.487,0.00039992,9,NDUFAF8
DLGAP4,2.18E-08,0.29173914,0.264,0.125,0.000402057,9,DLGAP4
TRIB1.2,2.22E-08,0.259358909,0.298,0.145,0.000409584,9,TRIB1
UPF2,2.31E-08,0.280409216,0.517,0.32,0.000425991,9,UPF2
AC016739.1.1,2.34E-08,-0.301379667,0.084,0.273,0.000430828,9,AC016739.1
SNX10.8,2.37E-08,-0.511202453,0.039,0.212,0.000436735,9,SNX10
LAPTM5.8,2.45E-08,-1.108238962,0.112,0.291,0.000451488,9,LAPTM5
TFRC.4,2.47E-08,-0.343206839,0.124,0.326,0.000454593,9,TFRC
HPF1,2.50E-08,-0.308979748,0.107,0.3,0.000459859,9,HPF1
BHLHE40.4,2.52E-08,0.437324483,0.399,0.23,0.00046505,9,BHLHE40
DAB2.9,2.71E-08,-0.650880259,0.062,0.237,0.000500044,9,DAB2
PTPRZ1.5,2.81E-08,-0.360249506,0.034,0.201,0.000517755,9,PTPRZ1
FLNA.1,2.88E-08,-0.31543933,0.079,0.266,0.00053057,9,FLNA
PTMAP2,2.90E-08,-0.269556521,0.034,0.202,0.000534238,9,PTMAP2
MAP4,2.99E-08,-0.292245962,0.079,0.264,0.000551586,9,MAP4
SUPT5H.2,3.05E-08,0.323433133,0.612,0.418,0.000562031,9,SUPT5H
TPGS2.5,3.08E-08,-0.361955315,0.152,0.342,0.000566902,9,TPGS2
WIPI2.1,3.09E-08,0.324276162,0.416,0.248,0.000569579,9,WIPI2
HLA-DMB.8,3.10E-08,-0.573544135,0.022,0.184,0.000570317,9,HLA-DMB
PSMA1.3,3.18E-08,-0.343278205,0.32,0.533,0.000586515,9,PSMA1
PNPT1.6,3.19E-08,-0.346969666,0.146,0.348,0.000586832,9,PNPT1
S100A6.8,3.19E-08,-0.386273249,0.781,0.916,0.000587374,9,S100A6
CISD3.1,3.25E-08,-0.289541644,0.073,0.254,0.000598925,9,CISD3
ATP5PB.1,3.30E-08,-0.328669111,0.275,0.481,0.000607637,9,ATP5PB
TTC39C.2,3.31E-08,-0.272895665,0.034,0.201,0.000609215,9,TTC39C
MRPS10.4,3.42E-08,0.330888319,0.601,0.403,0.000630352,9,MRPS10
NUDT1.3,3.48E-08,-0.278183177,0.051,0.224,0.000640973,9,NUDT1
CCDC88A.7,3.49E-08,-0.423410181,0.051,0.224,0.000643313,9,CCDC88A
SMARCA4.1,3.54E-08,0.279143936,0.393,0.22,0.000652011,9,SMARCA4
SOST.7,3.56E-08,-0.451231989,0.051,0.221,0.000654997,9,SOST
STOML2.7,3.72E-08,-0.520168901,0.478,0.606,0.000685444,9,STOML2
USP47.1,3.76E-08,0.305598081,0.388,0.22,0.000693282,9,USP47
NDUFS4.3,3.79E-08,-0.343781794,0.281,0.482,0.000698036,9,NDUFS4
NINJ1.6,3.81E-08,-0.449031492,0.112,0.295,0.000701173,9,NINJ1
ZNF24.3,3.89E-08,0.30806398,0.478,0.3,0.000716697,9,ZNF24
PCBP1.2,3.96E-08,0.364274014,0.86,0.725,0.000729781,9,PCBP1
LIMS1.8,4.10E-08,-0.469564825,0.185,0.372,0.000755681,9,LIMS1
HIGD2A.1,4.33E-08,-0.324058852,0.219,0.427,0.000798091,9,HIGD2A
NOP56.5,4.63E-08,-0.36080016,0.225,0.428,0.000852857,9,NOP56
YY1.4,4.65E-08,0.3868438,0.691,0.529,0.000856734,9,YY1
ZFP36L1.8,4.66E-08,-0.462759931,0.298,0.522,0.000858527,9,ZFP36L1
NFIC.2,4.81E-08,-0.262871543,0.011,0.164,0.000885811,9,NFIC
KLK7,4.97E-08,0.313434934,0.107,0.031,0.000915748,9,KLK7
PSMB2.3,4.98E-08,-0.366841023,0.264,0.459,0.000917987,9,PSMB2
KRAS.5,5.12E-08,0.276291734,0.579,0.378,0.000944005,9,KRAS
UQCRB.7,5.16E-08,-0.383029504,0.82,0.88,0.000949703,9,UQCRB
HK1.3,5.17E-08,-0.313690864,0.14,0.335,0.000952274,9,HK1
PRKRIP1,5.22E-08,0.32382965,0.472,0.299,0.00096233,9,PRKRIP1
TYROBP.8,5.23E-08,-1.826590392,0.135,0.304,0.000964103,9,TYROBP
RPS10,5.53E-08,-0.270715121,0.067,0.244,0.001018627,9,RPS10
PTPRC.8,5.61E-08,-0.577716913,0.09,0.269,0.001032544,9,PTPRC
BRD8,5.67E-08,0.27113905,0.388,0.218,0.001043715,9,BRD8
PPP2CA,5.69E-08,0.306896869,0.433,0.259,0.001048552,9,PPP2CA
NDUFC1.5,5.76E-08,-0.393771059,0.461,0.634,0.001061549,9,NDUFC1
GPR183.8,5.84E-08,-0.667285394,0.017,0.173,0.001075745,9,GPR183
CNST,5.98E-08,0.348944683,0.32,0.173,0.00110187,9,CNST
ANP32B.5,6.14E-08,-0.468925139,0.579,0.7,0.001130222,9,ANP32B
BIRC5.7,6.49E-08,-0.425872372,0.034,0.194,0.001194645,9,BIRC5
CD14.8,6.59E-08,-1.075622021,0.051,0.213,0.001213995,9,CD14
IMMT,6.66E-08,-0.264253686,0.067,0.245,0.001226484,9,IMMT
PABPC4.1,7.08E-08,-0.344934845,0.197,0.392,0.001303862,9,PABPC4
DYNC1H1.2,7.11E-08,-0.336769419,0.247,0.445,0.001309691,9,DYNC1H1
COX20.4,7.37E-08,-0.400672093,0.365,0.541,0.001357885,9,COX20
MT2A.9,7.39E-08,-0.915299936,0.084,0.255,0.001360653,9,MT2A
VAMP5.8,7.44E-08,-0.466412334,0.051,0.217,0.001370069,9,VAMP5
GAS5.6,8.04E-08,-0.39153366,0.331,0.52,0.001481954,9,GAS5
BAG2.4,8.23E-08,-0.27252503,0.028,0.186,0.001515231,9,BAG2
PLA2G16.6,8.32E-08,0.505718144,0.59,0.434,0.001533254,9,PLA2G16
CLDND1,8.43E-08,0.262083648,0.337,0.181,0.001553366,9,CLDND1
RBM3.3,8.58E-08,-0.332382951,0.219,0.419,0.001581002,9,RBM3
STMN1.8,8.71E-08,-0.63098941,0.315,0.467,0.001604048,9,STMN1
RPL26L1.4,8.71E-08,-0.314671424,0.219,0.425,0.001604065,9,RPL26L1
FLII.1,8.81E-08,0.323191994,0.466,0.297,0.001623591,9,FLII
SMS.3,8.97E-08,0.484754748,0.551,0.38,0.001652937,9,SMS
BRI3.9,8.98E-08,-0.563727527,0.303,0.477,0.001653326,9,BRI3
C12orf65.1,9.11E-08,-0.341628754,0.112,0.294,0.001678232,9,C12orf65
SMAD5.5,9.30E-08,-0.326515864,0.084,0.259,0.001712268,9,SMAD5
CCL3L1.8,9.68E-08,-2.217959687,0.118,0.288,0.001782581,9,CCL3L1
UBE2S.2,9.75E-08,-0.312381621,0.051,0.216,0.001796408,9,UBE2S
HCST.9,9.82E-08,-0.58382511,0.056,0.222,0.001808669,9,HCST
C4orf3.6,9.98E-08,0.387424724,0.781,0.62,0.001838148,9,C4orf3
GSTK1.3,1.02E-07,-0.277516959,0.101,0.29,0.001876788,9,GSTK1
PUM3.1,1.03E-07,-0.293574472,0.107,0.294,0.001893556,9,PUM3
THOC7.4,1.04E-07,-0.321887547,0.253,0.452,0.001908454,9,THOC7
ATP5F1D,1.04E-07,-0.318597148,0.213,0.409,0.001916947,9,ATP5F1D
A2M.9,1.08E-07,-1.007851494,0.073,0.243,0.001985951,9,A2M
PSME2.4,1.09E-07,-0.355049059,0.219,0.414,0.002008869,9,PSME2
SRGN.8,1.10E-07,-1.08888205,0.185,0.354,0.002023741,9,SRGN
TPD52,1.11E-07,-0.250735553,0.051,0.217,0.002052809,9,TPD52
TTC37,1.14E-07,-0.275783351,0.09,0.267,0.002100277,9,TTC37
C1QA.9,1.15E-07,-1.347371754,0.062,0.226,0.002117225,9,C1QA
SELENOM.6,1.15E-07,-0.399906195,0.062,0.228,0.002118034,9,SELENOM
CXCL3.9,1.17E-07,-1.083332693,0.034,0.19,0.00215454,9,CXCL3
CREBBP,1.19E-07,0.267747893,0.303,0.158,0.002189462,9,CREBBP
ADAM10,1.27E-07,0.250836591,0.281,0.141,0.002342992,9,ADAM10
MS4A7.9,1.29E-07,-0.740945147,0.039,0.2,0.002376446,9,MS4A7
IGFBP6.6,1.30E-07,-0.350917681,0.034,0.19,0.002393659,9,IGFBP6
PLEKHB2.2,1.34E-07,0.284054172,0.404,0.24,0.002468501,9,PLEKHB2
SAMSN1.8,1.44E-07,-0.405507717,0.028,0.181,0.002656409,9,SAMSN1
GSPT1.6,1.61E-07,-0.385579406,0.354,0.534,0.002958106,9,GSPT1
ADIPOR2,1.64E-07,0.329686755,0.258,0.129,0.003029394,9,ADIPOR2
AIF1.8,1.69E-07,-1.106757646,0.09,0.255,0.003112936,9,AIF1
APPL1.1,1.70E-07,-0.322990656,0.23,0.43,0.003132028,9,APPL1
MGAT1.5,1.74E-07,0.419600473,0.472,0.315,0.003199488,9,MGAT1
PSMB1.4,1.74E-07,-0.345316586,0.449,0.634,0.00319988,9,PSMB1
SEC61B.3,1.74E-07,-0.371998666,0.438,0.603,0.003200569,9,SEC61B
USP10.2,1.74E-07,-0.317810907,0.213,0.403,0.003204772,9,USP10
HEIH,1.75E-07,0.268088283,0.343,0.187,0.003221139,9,HEIH
RNASET2.8,1.76E-07,-0.530002243,0.107,0.281,0.003234019,9,RNASET2
LSM7.5,1.77E-07,-0.330672701,0.23,0.417,0.003254792,9,LSM7
HNRNPA3.5,1.80E-07,-0.405122724,0.399,0.565,0.003315034,9,HNRNPA3
UQCRC1.6,1.95E-07,-0.341818157,0.32,0.503,0.003601119,9,UQCRC1
ESCO1.6,1.99E-07,0.41255689,0.607,0.443,0.003664422,9,ESCO1
GADD45G.1,2.02E-07,-0.381902927,0.09,0.26,0.003719573,9,GADD45G
EPSTI1.8,2.07E-07,-0.433234096,0.062,0.224,0.003813389,9,EPSTI1
PSMB3.3,2.08E-07,-0.354523455,0.528,0.687,0.003838253,9,PSMB3
DAZAP2.1,2.14E-07,0.289291345,0.607,0.434,0.003934684,9,DAZAP2
ATP5IF1.5,2.16E-07,-0.357114429,0.517,0.66,0.003978403,9,ATP5IF1
HSD17B10,2.27E-07,-0.267410497,0.084,0.254,0.004188712,9,HSD17B10
WDR43.5,2.28E-07,-0.368865315,0.281,0.471,0.004203205,9,WDR43
PRKDC.5,2.37E-07,-0.381303033,0.247,0.426,0.004365697,9,PRKDC
PSMD14.6,2.37E-07,-0.383765265,0.331,0.507,0.004366422,9,PSMD14
SNHG5,2.43E-07,-0.275516457,0.107,0.285,0.004479312,9,SNHG5
C1QB.9,2.50E-07,-1.816935197,0.073,0.233,0.004606513,9,C1QB
MT-TW,2.50E-07,-0.262839078,0.056,0.216,0.004609906,9,MT-TW
C1QC.9,2.51E-07,-1.006679599,0.039,0.191,0.004618197,9,C1QC
MRPL12.6,2.54E-07,-0.335860062,0.157,0.333,0.004677162,9,MRPL12
CALB2.1,2.56E-07,0.350808148,0.197,0.082,0.004721786,9,CALB2
MGST1.8,2.65E-07,-0.468695132,0.253,0.422,0.004884958,9,MGST1
CLU.5,2.73E-07,-0.762848587,0.213,0.387,0.005021429,9,CLU
S100A10.4,2.86E-07,0.567728954,0.888,0.885,0.005276284,9,S100A10
CD86.8,2.92E-07,-0.455396261,0.039,0.19,0.005375957,9,CD86
PDE4B.7,2.94E-07,-0.321551597,0.011,0.149,0.005417316,9,PDE4B
YIPF3.1,2.97E-07,0.402117365,0.438,0.278,0.005476995,9,YIPF3
DIS3.1,3.02E-07,0.337288375,0.371,0.225,0.005561212,9,DIS3
DNAJC10,3.02E-07,-0.28140897,0.107,0.278,0.005572004,9,DNAJC10
NAA38.5,3.06E-07,-0.329940428,0.36,0.546,0.005643704,9,NAA38
KIF5B.3,3.08E-07,0.345092973,0.792,0.671,0.005681992,9,KIF5B
PPP2R2A.1,3.20E-07,0.354548124,0.438,0.286,0.005895776,9,PPP2R2A
SNHG16.3,3.32E-07,-0.277623188,0.124,0.308,0.006124216,9,SNHG16
NME4.1,3.34E-07,-0.268210131,0.073,0.235,0.00615314,9,NME4
CCL4L2.9,3.56E-07,-2.362668194,0.146,0.307,0.006551404,9,CCL4L2
ARPC3.1,3.60E-07,0.334508928,0.719,0.58,0.006628408,9,ARPC3
HLA-E.8,3.68E-07,0.2717543,0.787,0.582,0.006781916,9,HLA-E
BST2.7,3.73E-07,-0.365706876,0.073,0.237,0.006872859,9,BST2
HTATIP2.2,3.86E-07,-0.29589046,0.129,0.303,0.007107979,9,HTATIP2
MBNL1.2,3.90E-07,-0.323624481,0.208,0.389,0.007176361,9,MBNL1
EIF4EBP1.5,3.91E-07,-0.34347969,0.213,0.404,0.00720246,9,EIF4EBP1
PSMB9.7,3.95E-07,-0.39878468,0.152,0.329,0.00728213,9,PSMB9
SLC25A3.1,3.98E-07,-0.337365783,0.36,0.545,0.007333736,9,SLC25A3
APOC1.9,3.98E-07,-1.276350337,0.062,0.216,0.007336443,9,APOC1
SCAND1.6,4.07E-07,0.296130403,0.725,0.574,0.007497595,9,SCAND1
DDIT4.4,4.15E-07,-0.442509091,0.152,0.326,0.007640217,9,DDIT4
AKR1A1.3,4.22E-07,-0.296211789,0.169,0.352,0.007776249,9,AKR1A1
FSCN1.4,4.25E-07,-0.300200432,0.084,0.247,0.007836314,9,FSCN1
C1orf21.5,4.66E-07,-0.300545285,0.079,0.241,0.008578802,9,C1orf21
CAMSAP2,4.95E-07,0.293876159,0.281,0.15,0.009127392,9,CAMSAP2
PTGR1.8,4.96E-07,-0.617354059,0.449,0.562,0.009130961,9,PTGR1
TOPORS.5,4.96E-07,0.362613059,0.573,0.399,0.009139661,9,TOPORS
LIPA.8,5.01E-07,-0.35265315,0.028,0.172,0.009221624,9,LIPA
FKBP3.5,5.08E-07,-0.346183217,0.309,0.482,0.009349279,9,FKBP3
CEP290,5.08E-07,-0.264287712,0.051,0.205,0.009364055,9,CEP290
RBM17.2,5.14E-07,-0.297397164,0.36,0.557,0.009474063,9,RBM17
S100A4.9,5.16E-07,-0.941192176,0.258,0.42,0.009510836,9,S100A4
FCGR2A.8,5.20E-07,-0.519740939,0.045,0.192,0.009584585,9,FCGR2A
SIGMAR1.6,5.25E-07,-0.354267253,0.242,0.43,0.009675973,9,SIGMAR1
TMEM165.2,5.34E-07,0.348544318,0.522,0.366,0.00984591,9,TMEM165
HMGB1P5.4,5.42E-07,-0.32022416,0.169,0.343,0.009988342,9,HMGB1P5
MRPL57.5,5.44E-07,-0.354799235,0.399,0.566,0.010023636,9,MRPL57
KRT18.6,5.78E-07,0.442726793,0.685,0.514,0.010646953,9,KRT18
SELENOW.3,5.88E-07,-0.431877625,0.354,0.552,0.01083914,9,SELENOW
METTL9.5,5.95E-07,0.30544404,0.573,0.401,0.010964414,9,METTL9
HNRNPR.4,5.97E-07,-0.322999259,0.348,0.529,0.010996484,9,HNRNPR
MAF.7,6.26E-07,-0.414012418,0.124,0.291,0.011534027,9,MAF
CHORDC1.3,6.27E-07,-0.316273455,0.247,0.424,0.011547901,9,CHORDC1
SERPINF1.2,6.29E-07,-0.296962246,0.039,0.184,0.011591754,9,SERPINF1
ZNF148.1,6.52E-07,0.269976373,0.433,0.269,0.012017464,9,ZNF148
PLEKHO1.7,6.77E-07,-0.286909684,0.028,0.169,0.012462115,9,PLEKHO1
RNF167.4,6.83E-07,0.296320244,0.461,0.298,0.012574048,9,RNF167
ANAPC16.4,6.98E-07,-0.353730759,0.36,0.528,0.012851628,9,ANAPC16
FERMT1.4,7.00E-07,0.378767075,0.343,0.201,0.012886485,9,FERMT1
TMEM97.6,7.05E-07,-0.331586854,0.084,0.241,0.01297993,9,TMEM97
RAI14.5,7.09E-07,0.335454123,0.494,0.316,0.013063576,9,RAI14
ACTB.9,7.61E-07,-0.556220847,0.888,0.95,0.014016264,9,ACTB
TMEM176B.8,7.65E-07,-0.578597312,0.062,0.216,0.014090999,9,TMEM176B
NDUFAB1.6,7.88E-07,-0.371416176,0.404,0.571,0.014511252,9,NDUFAB1
RBM42.5,7.92E-07,0.347675259,0.725,0.587,0.01458823,9,RBM42
MRPL24.5,8.20E-07,-0.296381448,0.146,0.315,0.015101658,9,MRPL24
MYL12A.6,8.53E-07,0.322268696,0.534,0.384,0.01571,9,MYL12A
VMA21.5,8.68E-07,-0.30824377,0.236,0.416,0.015989611,9,VMA21
CD84.8,8.83E-07,-0.383200231,0.034,0.174,0.016257445,9,CD84
SDCCAG8.3,8.89E-07,-0.332355499,0.242,0.415,0.016381777,9,SDCCAG8
C1orf162.8,9.09E-07,-0.454113858,0.039,0.181,0.016735796,9,C1orf162
JMJD1C.2,9.38E-07,0.272407621,0.371,0.216,0.017277803,9,JMJD1C
SNU13.5,9.80E-07,-0.3461074,0.41,0.568,0.018044699,9,SNU13
KPNA2.5,9.93E-07,-0.375877289,0.09,0.246,0.01830029,9,KPNA2
CCNI.2,1.01E-06,0.401577501,0.646,0.5,0.018691744,9,CCNI
DDX24.2,1.02E-06,-0.266335813,0.511,0.68,0.018744632,9,DDX24
LEPROT.5,1.07E-06,0.250087506,0.539,0.361,0.019695133,9,LEPROT
FAM83D,1.08E-06,0.252873744,0.225,0.11,0.019802645,9,FAM83D
PELP1.5,1.09E-06,-0.307617006,0.157,0.328,0.020114222,9,PELP1
ELOB.7,1.15E-06,0.385000862,0.961,0.877,0.021127452,9,ELOB
CD52.7,1.15E-06,-0.838794999,0.084,0.235,0.021160945,9,CD52
ERH.1,1.15E-06,-0.265668628,0.157,0.332,0.021233415,9,ERH
PHACTR4,1.20E-06,0.2784364,0.32,0.18,0.022024343,9,PHACTR4
ME2.4,1.20E-06,-0.312652797,0.112,0.277,0.022126885,9,ME2
MTHFD2,1.22E-06,-0.253540044,0.073,0.226,0.022384296,9,MTHFD2
CXCL2.9,1.22E-06,-1.00048083,0.062,0.205,0.022477431,9,CXCL2
NEMF,1.22E-06,0.32392792,0.376,0.23,0.022550661,9,NEMF
YWHAQ.5,1.24E-06,-0.322592169,0.242,0.411,0.022859414,9,YWHAQ
TIMM13.6,1.25E-06,-0.322094264,0.309,0.481,0.022944961,9,TIMM13
CSNK2A1.3,1.29E-06,0.301509184,0.618,0.454,0.023811556,9,CSNK2A1
SLC11A1.8,1.30E-06,-0.379493465,0.045,0.188,0.023931567,9,SLC11A1
DYNC1LI1.1,1.32E-06,-0.265900899,0.112,0.273,0.024266588,9,DYNC1LI1
MT-TE.3,1.32E-06,-0.402363848,0.225,0.392,0.024323096,9,MT-TE
TMBIM6.2,1.33E-06,0.294591686,0.899,0.846,0.024520914,9,TMBIM6
DNAJC15.7,1.35E-06,-0.274642768,0.051,0.197,0.024837141,9,DNAJC15
NUPR1.6,1.39E-06,-0.537846876,0.073,0.225,0.02558382,9,NUPR1
VDAC3.1,1.45E-06,-0.251714313,0.107,0.268,0.026790041,9,VDAC3
RALGPS2.3,1.46E-06,0.299759605,0.427,0.271,0.026873986,9,RALGPS2
PYCARD.3,1.49E-06,-0.260189936,0.135,0.304,0.027475048,9,PYCARD
FAM200B.7,1.57E-06,-0.346550011,0.253,0.424,0.02882946,9,FAM200B
TK1.3,1.60E-06,-0.259068761,0.017,0.143,0.02941591,9,TK1
GRINA.4,1.62E-06,-0.303611966,0.18,0.351,0.02977079,9,GRINA
CHCHD2.6,1.68E-06,-0.372077629,0.86,0.886,0.031039361,9,CHCHD2
CCDC137.5,1.69E-06,0.436552072,0.584,0.433,0.03113391,9,CCDC137
P2RY1,1.74E-06,0.271564858,0.118,0.042,0.03196044,9,P2RY1
SNX5.2,1.74E-06,-0.251257084,0.101,0.258,0.032078253,9,SNX5
COX5A.7,1.75E-06,-0.419317883,0.685,0.754,0.032229312,9,COX5A
TSG101.3,1.75E-06,0.309710901,0.494,0.34,0.032297188,9,TSG101
FCGR3A.9,1.78E-06,-0.618729227,0.056,0.197,0.032705667,9,FCGR3A
MIS18BP1.1,1.79E-06,-0.265522271,0.101,0.261,0.033029022,9,MIS18BP1
GTF2H5.3,1.82E-06,-0.300920095,0.275,0.445,0.033553206,9,GTF2H5
BANF1.4,1.82E-06,-0.313132417,0.315,0.481,0.033591693,9,BANF1
SSR1,1.84E-06,-0.253601933,0.264,0.448,0.033831391,9,SSR1
RNF213.7,1.86E-06,-0.357538791,0.382,0.56,0.034273194,9,RNF213
OSBPL1A.2,1.87E-06,0.635665045,0.388,0.259,0.034463621,9,OSBPL1A
FCER1G.8,1.90E-06,-1.229559004,0.135,0.278,0.035029642,9,FCER1G
RTN3,1.91E-06,0.263588137,0.506,0.339,0.03509532,9,RTN3
HMGN2.7,1.92E-06,-0.384001996,0.281,0.458,0.035328794,9,HMGN2
ZBTB7A,1.95E-06,0.252503551,0.298,0.16,0.035939558,9,ZBTB7A
HCK.8,1.95E-06,-0.35369343,0.034,0.167,0.035977966,9,HCK
NUSAP1.8,1.99E-06,-0.495370048,0.067,0.212,0.036583962,9,NUSAP1
MS4A6A.8,2.00E-06,-0.612755326,0.039,0.173,0.036835848,9,MS4A6A
HMGB2.7,2.00E-06,-0.508917891,0.169,0.332,0.036911093,9,HMGB2
TIMM8B.6,2.03E-06,-0.39419466,0.483,0.605,0.037328816,9,TIMM8B
TMCO1.2,2.16E-06,0.370179282,0.73,0.65,0.039728589,9,TMCO1
WNT5A.3,2.17E-06,-0.274866302,0.056,0.201,0.039936211,9,WNT5A
PHB2.4,2.18E-06,-0.282007972,0.191,0.357,0.040219608,9,PHB2
ATP5MG.6,2.19E-06,-0.306716325,0.826,0.872,0.040369507,9,ATP5MG
MAN1A2,2.20E-06,0.253995549,0.337,0.2,0.040453212,9,MAN1A2
PPT1.3,2.20E-06,-0.284289105,0.152,0.315,0.040586006,9,PPT1
RTP1.5,2.26E-06,-0.268582179,0.011,0.132,0.041672477,9,RTP1
PAK1.3,2.36E-06,-0.369545955,0.326,0.491,0.043470021,9,PAK1
PEG10.6,2.36E-06,-0.28341892,0.056,0.2,0.043499215,9,PEG10
MXI1.4,2.37E-06,0.270944762,0.449,0.295,0.043621334,9,MXI1
SDC2.5,2.40E-06,-0.290078751,0.011,0.131,0.044260632,9,SDC2
NAGK.3,2.41E-06,-0.285641637,0.079,0.227,0.044416708,9,NAGK
CSF1R.8,2.46E-06,-0.322757946,0.022,0.149,0.045323463,9,CSF1R
PMP22.8,2.56E-06,-0.33587018,0.039,0.173,0.047107797,9,PMP22
TTK.5,2.58E-06,-0.297324687,0.028,0.157,0.047470504,9,TTK
HLA-DMA.7,2.64E-06,-0.358913003,0.045,0.18,0.048553343,9,HLA-DMA
TREM2.9,2.65E-06,-0.476799598,0.028,0.155,0.048818178,9,TREM2
TGFBI.8,2.68E-06,-0.360443485,0.034,0.166,0.049368743,9,TGFBI
CDKN1B.1,2.69E-06,0.276086896,0.393,0.249,0.049543376,9,CDKN1B
SLC39A10.2,2.74E-06,-0.264624012,0.073,0.217,0.050400918,9,SLC39A10
NDUFB8.1,2.84E-06,-0.254272984,0.169,0.334,0.052387985,9,NDUFB8
CKS1B.5,2.89E-06,-0.262108414,0.051,0.19,0.053178211,9,CKS1B
SERPING1.9,3.00E-06,-0.602616097,0.09,0.235,0.05533284,9,SERPING1
LYAR.3,3.09E-06,-0.260415309,0.112,0.271,0.056921495,9,LYAR
ABCC2.4,3.13E-06,-0.2513572,0.039,0.172,0.05769827,9,ABCC2
P4HB.4,3.15E-06,0.393243414,0.781,0.682,0.058073552,9,P4HB
CLEC2B.6,3.15E-06,-0.311471292,0.067,0.214,0.05810395,9,CLEC2B
CKS2.7,3.17E-06,-0.401135139,0.135,0.288,0.058332061,9,CKS2
ZEB2.8,3.22E-06,-0.303886826,0.039,0.172,0.059368574,9,ZEB2
SERPINB1.2,3.22E-06,0.422281519,0.427,0.286,0.059398707,9,SERPINB1
TPM3.6,3.27E-06,-0.338796094,0.77,0.838,0.060184265,9,TPM3
LAIR1.8,3.28E-06,-0.356861291,0.034,0.164,0.060335515,9,LAIR1
RER1,3.38E-06,0.258787757,0.404,0.26,0.062184594,9,RER1
JUND,3.43E-06,0.258178936,0.438,0.281,0.063160587,9,JUND
CREG1.4,3.53E-06,-0.350129682,0.275,0.435,0.065036066,9,CREG1
PBDC1.1,3.53E-06,-0.272344874,0.169,0.334,0.065039461,9,PBDC1
PSIP1.1,3.54E-06,-0.25031374,0.073,0.217,0.065244654,9,PSIP1
TXN2.1,3.60E-06,-0.298151164,0.32,0.499,0.066256875,9,TXN2
UXT,3.62E-06,-0.279640581,0.219,0.382,0.066642724,9,UXT
RASSF4.9,3.66E-06,-0.528542853,0.034,0.16,0.067402831,9,RASSF4
BLVRB.3,3.67E-06,-0.313971472,0.348,0.506,0.067517969,9,BLVRB
HNRNPAB.2,3.67E-06,-0.252554107,0.124,0.28,0.067554637,9,HNRNPAB
USP8.1,3.82E-06,0.326271784,0.742,0.619,0.070315412,9,USP8
NDUFAF3.2,3.84E-06,-0.288269684,0.247,0.413,0.070692281,9,NDUFAF3
LAPTM4B.6,3.92E-06,-0.310630922,0.169,0.325,0.072227887,9,LAPTM4B
BNIP3.6,4.18E-06,-0.446521949,0.27,0.42,0.076958949,9,BNIP3
MSR1.9,4.23E-06,-0.447373962,0.039,0.17,0.077975373,9,MSR1
APOE.9,4.33E-06,-1.806027862,0.129,0.271,0.079770541,9,APOE
IARS2.6,4.47E-06,-0.300716182,0.242,0.403,0.082287348,9,IARS2
DDT.3,4.56E-06,-0.321331824,0.388,0.541,0.083954287,9,DDT
PIK3R1.3,4.64E-06,-0.250855735,0.062,0.2,0.085559773,9,PIK3R1
TIMM10.3,4.75E-06,-0.252896424,0.124,0.277,0.087427235,9,TIMM10
BCLAF1.2,4.85E-06,-0.312907815,0.438,0.581,0.089356298,9,BCLAF1
HSP90AB3P.1,4.89E-06,-0.258227828,0.096,0.24,0.090121599,9,HSP90AB3P
TNFSF13B.8,4.90E-06,-0.466186797,0.062,0.198,0.09021493,9,TNFSF13B
SCNM1.1,5.27E-06,0.261215021,0.421,0.282,0.097021379,9,SCNM1
ADAP2.8,5.34E-06,-0.307670992,0.028,0.151,0.098451656,9,ADAP2
SHTN1.2,5.35E-06,-0.257521145,0.135,0.292,0.098508059,9,SHTN1
TMEM176A.8,5.40E-06,-0.376416984,0.039,0.167,0.099514745,9,TMEM176A
